"","PC1","PC2","PC3","PC4","PC5","cals_per_gram"
"1",-0.0347496923885958,-0.00524811202968883,-0.00345788563474906,-0.0046605868942044,-0.0151559224715923,"Low"
"2",-0.067463477280402,-0.0642007051228685,-0.0142422799358271,-0.0262122874571373,-0.0159733026650795,"High"
"3",-0.142126566712782,-0.0667771389335284,-0.0143736921423776,-0.0343489750436151,-0.0189021505722637,"High"
"4",-0.151408233391813,-0.0905159666693503,-0.0184164500650159,-0.0409511001427847,-0.0247550014189861,"High"
"5",-0.180873175075698,-0.0939933905175454,-0.0213867994455335,-0.0498606576849468,-0.0288782837082644,"High"
"6",-0.21893961137897,-0.115433237552511,-0.0722596093476373,-0.0743216637263229,-0.0337553310956783,"High"
"7",-0.252225377904487,-0.11723710154409,-0.0744035927181068,-0.0846678262068569,-0.0397879451501201,"Low"
"8",-0.302933643315348,-0.184619777315129,-0.0776436341933243,-0.0867824047703051,-0.0432514069350212,"Low"
"9",-0.312423371304869,-0.197839991517788,-0.0834721067496874,-0.0906852852481663,-0.0535113174320237,"Low"
"10",-0.323097804897003,-0.21947337489933,-0.0884944190482708,-0.0915006523338758,-0.0640165953154805,"High"
"11",-0.387022469595623,-0.229810497764825,-0.0928318021786689,-0.0985220120418175,-0.0665123532657498,"High"
"12",-0.411185058525588,-0.242399003250336,-0.0945781939959125,-0.100920092485283,-0.0670709146074157,"Low"
"13",-0.483439629387946,-0.244920944145566,-0.0950125311825804,-0.124807306069158,-0.108991032365538,"High"
"14",-0.52359130331899,-0.246804877753844,-0.100887604030845,-0.126838139918365,-0.110039823531961,"Low"
"15",-0.546483243217972,-0.254883697725206,-0.104488717157204,-0.130858341169927,-0.115536215755309,"High"
"16",-0.623905717645663,-0.255016078947499,-0.110224058161164,-0.166901553146036,-0.120284891179601,"Low"
"17",-0.64705744527583,-0.284723636260309,-0.110847442535583,-0.17810991765715,-0.13309903480331,"High"
"18",-0.696966985175059,-0.289277923996039,-0.11979725283806,-0.184416343548638,-0.144083321549823,"Low"
"19",-0.736043460848433,-0.293523748490178,-0.121709748425917,-0.186391472523258,-0.144396168874936,"High"
"20",-0.736996003680597,-0.301146712661269,-0.122629776188456,-0.197920274167275,-0.152125080021033,"Low"
"21",-0.775218072127738,-0.304392954323867,-0.139072352581632,-0.271408164008065,-0.15658278206463,"High"
"22",-0.846109081228164,-0.307412994480652,-0.143244440707563,-0.272703099921748,-0.166085148499972,"Low"
"23",-0.857264106842092,-0.315762464364632,-0.155344752509345,-0.285709909187625,-0.190732451121343,"Low"
"24",-0.884622096741871,-0.33011575556147,-0.160351547730628,-0.29157677328727,-0.202297935142606,"High"
"25",-0.892535780148583,-0.331096696964335,-0.175129033344113,-0.299533205973454,-0.208507370722589,"Low"
"26",-0.939956431141147,-0.346296029349444,-0.179626254461194,-0.324908257118243,-0.209579239277875,"Low"
"27",-0.996319121988854,-0.361279155321937,-0.192684623551273,-0.325970791471953,-0.214378838139147,"High"
"28",-0.996858903442244,-0.365357082957678,-0.198378592465179,-0.366490592463159,-0.214429198735029,"High"
"29",-1.00755098543675,-0.369503888231854,-0.198872538193742,-0.378428184803081,-0.215438931857609,"High"
"30",-1.0945283190093,-0.376016484173468,-0.201618551371757,-0.382891165508175,-0.219676180937565,"Low"
"31",-1.12591814480028,-0.388775984907648,-0.202232099710437,-0.395453341224727,-0.224005982911438,"Low"
"32",-1.18012475242939,-0.406956976855145,-0.208258496392508,-0.401481824410584,-0.227954618120101,"Low"
"33",-1.2197421501931,-0.417545447978451,-0.211022278784304,-0.401845397634251,-0.234787790276324,"High"
"34",-1.22302492615751,-0.423622738311623,-0.225370890775376,-0.405084546406852,-0.253013241458223,"High"
"35",-1.25176765585438,-0.430014987602882,-0.227175396816614,-0.418318108133861,-0.257213601433265,"Low"
"36",-1.25190929208137,-0.459633461219595,-0.250057343765871,-0.419371122777695,-0.260996267585847,"Low"
"37",-1.26568899526251,-0.46443786235129,-0.251528436171796,-0.427530304582248,-0.277911827821003,"Low"
"38",-1.28547425962645,-0.505455983743318,-0.27340369927649,-0.444250057265194,-0.285040661900044,"High"
"39",-1.30484393645969,-0.515438252268158,-0.283997273394804,-0.449670910157782,-0.288589155128793,"Low"
"40",-1.32373152989789,-0.531470181057622,-0.290649312811174,-0.450998226444252,-0.291366148968677,"High"
"41",-1.32687026886802,-0.539732605855585,-0.312036223377038,-0.505051052941223,-0.293765494934923,"High"
"42",-1.32943072422254,-0.557417646303076,-0.322298965602406,-0.505333498213242,-0.349596226222269,"Low"
"43",-1.48438040734689,-0.57005588348331,-0.33406030977952,-0.543889317915027,-0.386989362329301,"High"
"44",-1.49641562155894,-0.571426233841859,-0.344286020773883,-0.592884739658892,-0.423425566520475,"High"
"45",-1.49865749962166,-0.579624434448251,-0.357859073035022,-0.6428626303065,-0.456461734524737,"High"
"46",-1.51009414451332,-0.582050731104519,-0.377902518686898,-0.688157299671444,-0.473567681735965,"High"
"47",-1.51851483456475,-0.592696389149101,-0.40708032328415,-0.710589888573679,-0.484382863238565,"High"
"48",-1.56469244985492,-0.593380475325419,-0.433460392199298,-0.752816776108946,-0.493664431636823,"Low"
"49",-1.61357438585186,-0.594761622672146,-0.443967131093442,-0.836989486968379,-0.508206327845947,"High"
"50",-1.63163301799411,-0.595454786572352,-0.456330380444368,-0.880952688544842,-0.50988766440412,"Low"
"51",-1.63510618994518,-0.597911059951772,-0.492436104087796,-0.921506209726288,-0.532410782420311,"High"
"52",-1.66821338667409,-0.620516580481055,-0.503420240804616,-0.962145308213207,-0.598693221489845,"High"
"53",-1.70305618592253,-0.621026027255122,-0.504131078072348,-0.967642402372684,-0.628881100241483,"High"
"54",-1.71339022051183,-0.632892193852004,-0.50909443452365,-1.17385013995145,-0.640998135084859,"High"
"55",-1.72650480525218,-0.643556848811316,-0.560185010980617,0.00801714772449594,-0.642403692213799,"Low"
"56",-1.74355526676827,-0.646032017650293,-0.560633142295328,0.00959002878667686,-0.773054143328475,"High"
"57",-1.81026844988112,-0.691093894739697,-0.605985812512665,0.0125715920113048,0.0045148189830137,"High"
"58",-1.8457475671889,-0.694497639743305,-0.636383641331341,0.033936131881963,0.0086565311505199,"Low"
"59",-1.89726778444351,-0.695847891337455,-0.64391019184325,0.0387666738562045,0.0106461429973469,"Low"
"60",-1.90126230867584,-0.721188162966623,-0.68626756325957,0.0449802877611979,0.0165053592776846,"Low"
"61",-1.91076544140001,-0.746563344877345,-0.735582553269409,0.0458105241271228,0.0213696313271771,"Low"
"62",-1.94017876982295,-0.752557985682947,-0.752192604969503,0.0460940523410755,0.0214163000798712,"High"
"63",-1.96326792437452,-0.757062867273875,-0.761757180867019,0.0483775399885626,0.0214166639599241,"High"
"64",-2.06962405616503,-0.76896628047934,-0.849056527099404,0.055907214777317,0.029438685448122,"Low"
"65",-2.11623931706007,-0.776571851935621,-0.857663865754346,0.0586683616689995,0.0310631924278112,"Low"
"66",-2.15029697781083,-0.796807011851263,-0.869082799905124,0.0683033172612384,0.0337580765705741,"High"
"67",-2.17530248263001,-0.882712024358946,-0.945466542075982,0.070796587929864,0.0366232200449216,"Low"
"68",-2.19694260485051,-0.909196151128027,-0.9794487330698,0.0718006769098696,0.0368169635834345,"High"
"69",-2.23422714350255,-0.912977999251745,-0.996898680539555,0.0732357844894562,0.0375107462806566,"High"
"70",-2.37937764643366,-1.08556973602378,0.00123201140759052,0.0803127284318975,0.0414908345240564,"Low"
"71",0.0103076576152039,-1.17795277583,0.00599098997171173,0.100824614522931,0.0434010867465493,"High"
"72",0.0767482337491887,-1.19635286510498,0.0270039265255407,0.100989611154766,0.0496117069907956,"Low"
"73",0.117104463285668,-1.22791703570272,0.0285569307918948,0.102717393776119,0.0499009007267802,"High"
"74",0.136282149413795,-1.23708543862478,0.0379042329860959,0.121097846767923,0.0515206492472997,"High"
"75",0.138006819127689,-1.35097021497743,0.0385303138160857,0.131861036350543,0.064058511774522,"Low"
"76",0.147091542765193,-1.35232492031159,0.0436594999280608,0.141110524325996,0.077243184559831,"Low"
"77",0.153255378111156,-1.3976512360995,0.065098812878003,0.145166660262792,0.082531252226869,"Low"
"78",0.187114518782908,-1.40046348780715,0.0670743540535936,0.147206951089924,0.0852455981619106,"Low"
"79",0.187821044175836,-1.42770139050314,0.0788779085139615,0.158253237048617,0.087097727028717,"High"
"80",0.216380986962007,-1.4389674017762,0.100113778134626,0.172324317858076,0.0914803275510722,"Low"
"81",0.224599564492978,-1.44086881497444,0.124507506692538,0.185654147654992,0.0968396021287812,"High"
"82",0.243979932787027,-1.46527344788142,0.124897864062828,0.202936858507147,0.097194919628157,"Low"
"83",0.278707618823205,-1.50588004432252,0.135685523995659,0.211315830080663,0.104722795667355,"Low"
"84",0.343362093968157,-1.53696651149072,0.137371203161777,0.216752302761115,0.104838023637796,"Low"
"85",0.365028213006493,-1.66721412220381,0.163925080644623,0.223317850919862,0.112866278077609,"Low"
"86",0.428242806994304,-1.67429247765332,0.168566814653506,0.224080825982952,0.11382705511077,"Low"
"87",0.428897639900632,0.0244520873212483,0.178152276845893,0.239254208525157,0.116422953294748,"High"
"88",0.450266342700171,0.0338559006814791,0.191248872861383,0.243417747712686,0.132990143417611,"High"
"89",0.534421763366635,0.0349208450016539,0.191301313781675,0.248001935705547,0.134929083874546,"High"
"90",0.709187513403475,0.0360423394807272,0.197071881853491,0.249402655317657,0.135877748157798,"Low"
"91",0.875027732635769,0.0535562625447222,0.216066110935273,0.250156554865457,0.151079385677372,"Low"
"92",0.90100235591644,0.145669345842462,0.260554845107466,0.252706023742395,0.152598724949831,"High"
"93",0.946036550124574,0.153383130220599,0.298518295968122,0.254357185469562,0.161431955745203,"High"
"94",0.994892520813259,0.174983527739598,0.306699873065126,0.271370612515679,0.170361382301262,"Low"
"95",1.00656284089446,0.207650463366125,0.328344539932705,0.292633919581082,0.185411486021443,"Low"
"96",1.26871118910946,0.219152550601437,0.336418235523524,0.305337262643158,0.194713363205208,"Low"
"97",1.27385948350276,0.22569142775958,0.359308898784689,0.311942703887583,0.214002144353323,"Low"
"98",1.27626524540877,0.253366745110934,0.367530952646358,0.317354205888746,0.217121261221086,"High"
"99",1.32949723367644,0.270695601620631,0.377807080571719,0.318846746407569,0.217982812469308,"Low"
"100",1.36738824916256,0.307520803346121,0.386028868076471,0.323240932039864,0.219856494401446,"High"
"101",1.39057468605222,0.334954462813226,0.392773013920749,0.329422692544543,0.224195996570132,"High"
"102",1.46850446979915,0.365566792719353,0.393269430817825,0.337850760499163,0.242013163009785,"High"
"103",1.46895864893337,0.38324096784848,0.414331181342928,0.355836110878223,0.247032246809117,"High"
"104",1.51165172622567,0.398094787445744,0.426072613708922,0.361764266275209,0.249163170877171,"High"
"105",1.52960866727429,0.448583422141587,0.436165659264357,0.380632685368911,0.251952335779306,"High"
"106",1.53842161007074,0.453865560574731,0.465787695041328,0.389055341644349,0.261484351184674,"Low"
"107",1.64009628229578,0.45919956024813,0.467444106025459,0.4017553099499,0.264211100721889,"High"
"108",1.65272508873468,0.459426237381964,0.485557109175577,0.413863080927196,0.268242170503956,"Low"
"109",1.77865338253271,0.471053192343445,0.507475408336734,0.419138755143826,0.273805796377475,"Low"
"110",1.96871429561836,0.660095389107237,0.521610201618988,0.44083898190532,0.277252497466465,"Low"
"111",2.02674831175811,0.738752831620439,0.531973803513286,0.445253534150541,0.311693547379394,"Low"
"112",2.3397763673565,0.78717549995323,0.546418823998078,0.448346679606471,0.33088279824138,"Low"
"113",2.42675240246403,0.885558932369859,0.569754325957157,0.477210975133879,0.330957711700444,"High"
"114",2.56892091396121,0.962237011312931,0.587397828947429,0.491798990820175,0.336021186522743,"Low"
"115",2.73884209016478,2.85129216733358,0.615988887829147,0.497099523909299,0.372558341842813,"High"
"116",2.79698938320639,3.08732519365893,0.649340781558835,0.504509540226978,0.378469993027335,"High"
"117",3.05738156122787,3.13360319819201,0.655180628095591,0.51306645769387,0.382566131438159,"Low"
"118",3.08398644871178,3.22279577705164,0.69380048749068,0.531047089678441,0.449039947991889,"Low"
"119",3.26536760933737,3.35723733987648,0.709590130224691,0.548404486379771,0.486064193191365,"Low"
"120",3.40955138352407,3.37985252980018,0.779126524974994,0.573630720740315,0.487153381202679,"High"
"121",3.43094966316751,3.60559127972699,0.896619930203637,0.58975251161079,0.488554031430826,"Low"
"122",3.48878515279001,3.6531617872948,0.904945358178826,0.595783581899446,0.606774374519659,"Low"
"123",3.50608498218753,4.55317587396995,1.00453327241042,0.671850125047122,0.612931264180992,"Low"
"124",3.93605564564509,4.64092490012522,1.07636501006066,0.707686683220614,0.615810124242705,"Low"
"125",4.18997450876442,4.73689925482578,1.26773070797184,0.732716847863387,0.685549482265634,"High"
"126",4.42685372842174,4.80585688241961,1.60475183748794,0.788855227749588,0.792336829505076,"Low"
